"inhibs_rojo";"num_torres_rojo";"num_torres_azul";"DamageObjectives_rojo";"inhibs_azul";"DamageObjectives_azul";"kda_adc_rojo";"kda_jng_rojo";"kda_mid_azul";"kda_jng_azul";"kda_mid_rojo";"num_nashors_rojo";"kda_sup_azul";"kda_sup_rojo";"kda_adc_azul";"num_asesinatos_rojo";"kda_top_rojo";"kda_top_azul";"num_asesinatos_azul";"num_nashors_azul";"num_dragones_rojo";"num_dragones_azul";"double_k_rojo";"diff_oro_al_15";"diferencia_exp";"oro_al_15_rojo";"double_k_azul";"cura_rojo";"oro_al_15_azul";"cura_azul";"gana_azul"
1;7;3;1796,2962962963;0;1444,44444444444;15;10;1,66666666666667;2;10;1;0,666666666666667;5;0,75;16;8;0,75;5;0;1;2;2;158;-1732;23400;0;859,592592592593;23600;921,444444444444;"no"
2;10;1;3391,66666666667;0;783,333333333333;10;10;0,25;1;12;1;1;12;0;16;2;3;3;0;2;1;0;-3600;-2967;27100;1;661;23500;618,916666666667;"no"
3;11;6;2612,12121212121;0;1833,33333333333;8;4;0,666666666666667;0,75;9;1;1;8;1;13;8;1;4;1;3;2;1;-403;-955;24600;0;1809,48484848485;24200;1336,24242424242;"no"
3;11;1;2776,47058823529;0;976,470588235294;8;4,5;0,5;0,5;8;1;4;9;1,33333333333333;10;3;2;4;0;4;1;0;-5300;-1453;26600;0;798,205882352941;21300;885,058823529412;"no"
1;9;2;2896,42857142857;0;1253,57142857143;12;7,5;6;1,2;7;1;1,4;6,5;1,25;17;6,5;4;9;0;4;1;1;-2900;-2361;27300;0;822,392857142857;24400;765,607142857143;"no"
2;10;3;3290,32258064516;0;2000;9;2,66666666666667;0,75;3;10;1;0,666666666666667;4;1;17;3,5;1,5;7;0;5;0;2;1900;-691;24300;0;1536,38709677419;26200;484,612903225806;"no"
1;8;2;2903,57142857143;0;914,285714285714;6,5;3,66666666666667;1;2;16;1;2,33333333333333;3,66666666666667;2;20;2,66666666666667;1,2;12;0;4;0;2;-3900;-2083;28300;0;1096,92857142857;24400;546,607142857143;"no"
2;10;3;1886,66666666667;0;2357,77777777778;10;2,66666666666667;5;2;1,75;2;5,5;5,5;9;11;9;2;11;1;2;5;0;-1000;-2135;24000;1;1610,57777777778;23000;1515,08888888889;"no"
1;9;2;2923,33333333333;0;330;7,5;6,5;0,75;1,2;13;1;2,5;3,75;2,33333333333333;20;15;2;10;0;4;0;2;-1700;-2171;24400;1;514,933333333333;22700;1080,4;"no"
3;11;3;2881,25;0;1053,125;17;7,5;1;1;15;1;0,75;6,5;0,5;21;8,5;0,5;5;0;3;2;1;171;-1416;23900;0;2254,75;24100;454,78125;"no"
2;10;3;2925,8064516129;0;941,935483870968;8;6;0,5;3;10;1;0,75;8;1;12;4;0,5;3;0;4;1;2;-1700;-875;24300;1;1168,58064516129;22600;497,903225806452;"no"
4;11;3;3011,53846153846;0;850;10;5;0,833333333333333;1,66666666666667;5,5;1;3;11;5;15;5;1,66666666666667;8;0;3;1;1;-4500;-1368;27100;1;495,307692307692;22600;798,615384615385;"no"
3;11;4;3646,66666666667;0;1056,66666666667;7,5;16;1;1,5;8,5;2;0,444444444444444;20;2,33333333333333;24;4,33333333333333;1,25;8;0;5;0;2;-668;1242;26800;0;710,9;26100;512,633333333333;"no"
3;10;9;2671,42857142857;3;2259,52380952381;9,5;14;0,833333333333333;1;4,66666666666667;3;0,666666666666667;7;1,75;27;16;1,25;8;1;4;2;1;678;-140;24100;0;1792,45238095238;24800;769,166666666667;"no"
2;11;2;3058,82352941176;0;891,176470588235;7;3,5;2;1;10;2;1,66666666666667;4;0,5;16;8;0,75;6;0;4;1;3;878;350;23400;0;924,588235294118;24300;498,882352941176;"no"
2;10;3;3096,55172413793;0;413,793103448276;6;16;2;1,75;4;1;0,833333333333333;3,66666666666667;1,5;20;6;1,5;10;0;4;0;2;-700;-297;26000;0;852,48275862069;25300;493,724137931034;"no"
2;11;2;3120,68965517241;0;931,034482758621;7,5;7;1,6;2,25;2,33333333333333;2;5;7,5;0,444444444444444;22;5;1,25;11;0;3;0;1;-1100;-1839;27700;1;815,413793103448;26600;754,103448275862;"no"
1;10;0;2828,125;0;937,5;5;3;1;0,666666666666667;10;1;1;5;1;12;7;0,5;4;0;3;2;3;-3300;-2541;26000;0;916,65625;22700;441,125;"no"
2;10;7;2328,94736842105;0;1278,94736842105;6;7,5;0,6;1;11;2;3,5;7;7;17;14;1;8;0;3;3;3;3600;-740;23300;1;1770,15789473684;26900;642,289473684211;"no"
2;10;2;3112,5;0;800;15;13;0,8;1,66666666666667;10;2;1,33333333333333;5,5;1;18;12;0,25;6;0;4;1;3;128;-2143;24200;0;1119,15625;24300;828,625;"no"
1;7;4;2068,42105263158;0;1718,42105263158;5,66666666666667;16;2,75;5;7,5;0;0,833333333333333;3;2;20;3,4;3;15;1;5;1;2;1000;552;22700;1;1765,94736842105;23700;1288;"no"
1;10;1;2565,51724137931;0;906,896551724138;14;12;0;0;13;1;0;15;0;16;13;0;0;0;4;1;3;-1300;-2313;23900;0;1406,51724137931;22600;528,896551724138;"no"
1;8;1;2244,73684210526;0;700;15;11;1;1,5;4;1;0,5;3,33333333333333;0,8;17;9;0,333333333333333;6;0;3;1;2;-168;-341;24900;0;856,421052631579;24700;629,342105263158;"no"
1;8;3;1972,41379310345;0;1403,44827586207;17;13;2;2;7;1;1,75;2;2,33333333333333;18;3,33333333333333;1,5;8;0;4;0;2;310;-1468;24200;0;1139;24500;721,379310344828;"no"
2;10;3;2529,54545454545;0;1134,09090909091;4,5;1,25;4,33333333333333;2,6;2,16666666666667;2;4;12;3,33333333333333;15;3;4;15;0;4;2;0;-1300;-965;24800;2;724,886363636364;23500;1451,18181818182;"no"
1;10;7;2360;1;1622,5;13;4,33333333333333;3,5;2;14;1;0,8;6,5;1,66666666666667;17;14;1;7;1;3;2;3;781;-1107;23400;1;906,8;24200;683,55;"no"
