"kda";"posicion"
7;"mid"
7;"mid"
9;"mid"
5;"mid"
13;"mid"
2,8;"mid"
9;"mid"
4;"mid"
12;"mid"
8;"mid"
2,25;"mid"
4,5;"mid"
4,25;"mid"
16;"mid"
7;"mid"
7;"mid"
6;"mid"
7;"mid"
13;"mid"
4;"mid"
22;"mid"
13;"mid"
3,75;"mid"
3;"mid"
5,5;"mid"
10;"mid"
16;"mid"
15;"mid"
13;"mid"
7;"mid"
11;"mid"
8;"mid"
7;"mid"
13;"mid"
2,5;"mid"
4;"mid"
10;"mid"
12;"mid"
5;"mid"
3,33333333333333;"mid"
6,33333333333333;"mid"
6,5;"mid"
4;"mid"
3,33333333333333;"mid"
15;"mid"
9;"mid"
17;"mid"
6;"mid"
11;"mid"
5,5;"mid"
20;"mid"
6;"mid"
6,5;"mid"
3,5;"mid"
20;"mid"
1,5;"mid"
5,5;"mid"
11;"mid"
8;"mid"
3,2;"mid"
9;"mid"
9;"mid"
9;"mid"
14;"mid"
4;"mid"
7;"mid"
5;"mid"
14;"mid"
4;"mid"
13;"mid"
5;"mid"
17;"mid"
12;"mid"
3,5;"mid"
20;"mid"
14;"mid"
6;"mid"
13;"mid"
8;"mid"
6,5;"mid"
12;"mid"
10;"mid"
2,33333333333333;"mid"
13;"mid"
8;"mid"
9;"mid"
9;"mid"
7;"mid"
10;"mid"
5;"mid"
9;"mid"
1;"mid"
19;"mid"
5;"mid"
11;"mid"
14;"mid"
5;"mid"
5;"mid"
7;"mid"
11;"mid"
18;"mid"
6;"mid"
5,66666666666667;"mid"
6;"mid"
10;"mid"
5;"mid"
20;"mid"
7;"mid"
9;"mid"
7;"mid"
14;"mid"
3;"mid"
7;"mid"
3,33333333333333;"mid"
9;"mid"
16;"mid"
6;"mid"
4;"mid"
2,66666666666667;"mid"
3,25;"mid"
11;"mid"
9;"mid"
9;"mid"
3;"mid"
9;"mid"
14;"mid"
3;"mid"
11;"mid"
5;"mid"
12;"mid"
8;"mid"
9;"mid"
15;"mid"
9;"mid"
13;"mid"
6;"mid"
6,5;"mid"
5,33333333333333;"mid"
13;"mid"
3,33333333333333;"mid"
8;"mid"
6,5;"mid"
9;"mid"
9;"mid"
20;"mid"
2,33333333333333;"mid"
5,33333333333333;"mid"
8;"mid"
14;"mid"
14;"mid"
13;"mid"
2;"mid"
8;"mid"
3,5;"mid"
15;"mid"
6;"mid"
8;"mid"
13;"mid"
12;"mid"
15;"mid"
12;"mid"
12;"mid"
8;"mid"
21;"mid"
10;"mid"
4;"mid"
17;"mid"
3;"mid"
4;"mid"
13;"mid"
10;"mid"
3;"mid"
6,5;"mid"
7,5;"mid"
5;"mid"
6,5;"mid"
9;"mid"
15;"mid"
12;"mid"
8;"mid"
8;"mid"
7,5;"mid"
7;"mid"
2,66666666666667;"mid"
8;"mid"
6;"mid"
11;"mid"
11;"mid"
10;"mid"
12;"mid"
7,5;"mid"
12;"mid"
12;"mid"
11;"mid"
7;"mid"
13;"mid"
10;"mid"
10;"mid"
8;"mid"
12;"mid"
5,5;"mid"
6;"mid"
6,5;"mid"
4;"mid"
16;"mid"
13;"mid"
16;"mid"
4,33333333333333;"mid"
6,5;"mid"
10;"mid"
6,33333333333333;"mid"
9;"mid"
10;"mid"
4;"mid"
1;"mid"
5,5;"mid"
17;"mid"
4;"mid"
2,4;"mid"
10;"mid"
6;"mid"
14;"mid"
2;"mid"
3,66666666666667;"mid"
11;"mid"
6;"mid"
12;"mid"
6;"mid"
10;"mid"
5;"adc"
6,5;"adc"
16;"adc"
6;"adc"
7;"adc"
9;"adc"
15;"adc"
12;"adc"
13;"adc"
9;"adc"
8,33333333333333;"adc"
4,5;"adc"
11;"adc"
8,5;"adc"
9;"adc"
6,5;"adc"
7;"adc"
14;"adc"
2,5;"adc"
9,5;"adc"
1,75;"adc"
8;"adc"
13;"adc"
8;"adc"
14;"adc"
3,75;"adc"
5;"adc"
6;"adc"
9;"adc"
21;"adc"
7;"adc"
14;"adc"
8;"adc"
5;"adc"
4,33333333333333;"adc"
15;"adc"
7;"adc"
10;"adc"
16;"adc"
4,66666666666667;"adc"
9;"adc"
15;"adc"
7;"adc"
13;"adc"
11,5;"adc"
12;"adc"
10;"adc"
15;"adc"
4;"adc"
14;"adc"
9;"adc"
10;"adc"
7;"adc"
3,4;"adc"
4;"adc"
6;"adc"
18;"adc"
11;"adc"
20;"adc"
9;"adc"
9;"adc"
2,2;"adc"
6;"adc"
6;"adc"
6,66666666666667;"adc"
9;"adc"
5,66666666666667;"adc"
10;"adc"
13;"adc"
17;"adc"
10;"adc"
6;"adc"
13;"adc"
5,66666666666667;"adc"
6,5;"adc"
10;"adc"
16;"adc"
16;"adc"
12;"adc"
4,5;"adc"
3,66666666666667;"adc"
15;"adc"
5;"adc"
10;"adc"
5,5;"adc"
11;"adc"
10,5;"adc"
8;"adc"
5;"adc"
6;"adc"
6;"adc"
19;"adc"
9;"adc"
17;"adc"
5;"adc"
13;"adc"
11;"adc"
9;"adc"
8;"adc"
4;"adc"
21;"adc"
4,75;"adc"
12;"adc"
13;"adc"
18;"adc"
15;"adc"
4;"adc"
13;"adc"
3,5;"adc"
10;"adc"
11;"adc"
1,5;"adc"
2,66666666666667;"adc"
3;"adc"
5,66666666666667;"adc"
2,5;"adc"
7,5;"adc"
13;"adc"
6;"adc"
18;"adc"
6;"adc"
9;"adc"
10;"adc"
4,5;"adc"
9;"adc"
14;"adc"
10;"adc"
1,5;"adc"
14;"adc"
8;"adc"
10;"adc"
5;"adc"
14;"adc"
5;"adc"
14;"adc"
13;"adc"
14;"adc"
10;"adc"
10;"adc"
15;"adc"
11;"adc"
